name,phone,email,website,city,state,sizes,materials,pricing_min,pricing_max,driveway_suitable,driveway_notes,same_day_capable,description
Waste Now Dumpster Rental,502-969-7684,,https://www.wastenow.com/,Louisville,KY,10|15|20|30,construction|mixed|household,,,1,,0,Local Louisville dumpster and porta potty company. Firecrawl SCRAPED.
EnGulf Waste,504-429-3867,admin@engulfwaste.com,https://engulfwaste.com/,New Orleans,LA,10|15|20|30,construction|mixed|household,,,1,,1,New Orleans dumpster rental claiming same-day. Firecrawl SCRAPED. Confirm post-storm capacity.
Homestead Disposal Inc,781-320-0516,eric@homestead-disposal.com,https://www.homestead-disposal.com/,Boston,MA,7|10|15,construction|mixed|household|roofing|yard|concrete,,,1,Driveway-safe emphasis; Greater Boston 25+ years,0,Westwood MA based Greater Boston roll-off. Firecrawl SCRAPED. Next-day delivery marketed. Strong quality candidate.
ACE Roll Off LLC,410-288-3867,acerolloff@288dump.com,https://www.acerolloff.com/,Baltimore,MD,10|15|20|30|40,construction|mixed|household,,,1,,0,Baltimore dumpster rental. Firecrawl SCRAPED. Alt phone 410-216-4757.
Reynolds and Sons Disposal,207-773-5862,,https://www.reynoldsandsonsdisposal.com/,Portland,ME,10|15|20|30,construction|mixed|household,,,1,,0,Portland ME waste removal and dumpster rentals. Firecrawl search + Yelp. Local candidate.
Dump Day Dumpster Rental,313-918-4880,dumpdaydumpsters@gmail.com,https://www.dumpdaydumpsterrental.com/,Detroit,MI,10|20,construction|mixed|household|roofing,,,1,Rubber-wheeled driveway-safe dumpsters,1,Metro Detroit locally owned rubber-wheeled dumpsters. Firecrawl SCRAPED. Clear tonnage packages. Strong quality candidate.
A-1 Hauling and Rolloffs,763-444-6992,,https://a1rolloffs.com/,Minneapolis,MN,10|15|20|30|40,construction|mixed|household|concrete,,,1,Driveway-safe dumpsters marketed,0,Minneapolis/Twin Cities roll-off. Firecrawl SCRAPED. Flat-rate messaging.
KC Disposal,816-388-9739,kcdisposal@gmail.com,https://kansascitydisposal.com/,Kansas City,MO,10|15|20|30,construction|mixed|household,,,1,,0,Kansas City dumpster rentals. Firecrawl SCRAPED. Alt listing phone 816-342-5833 — confirm current.
Mid South Dumpster Rentals,601-316-7891,,https://midsouthdumpsterms.com/,Jackson,MS,10|15|20|30,construction|mixed,,,1,,0,Jackson MS roll-off rentals. Firecrawl search.
MT Roll Offs,406-697-7739,,https://mtrolloffs.com/,Billings,MT,10|15|20|30,construction|mixed,,,1,,0,Montana roll-off company. Firecrawl search. Confirm Billings service area.
Regency Hauling,704-593-6378,info@regencyhauling.com,https://regencyhauling.com/,Charlotte,NC,10|15|20|30|40,construction|mixed|household|roofing,,,1,,0,Charlotte dumpster rental. Firecrawl SCRAPED. 6-day service Mon-Sat.
Bin There Dump That Fargo,701-515-0079,,https://www.bintheredumpthat.com/fargo-dumpster-rentals/,Fargo,ND,10|14|20,construction|mixed|household,,,1,Driveway-safe trailer-style,0,Fargo BTDT franchise. Firecrawl search. Confirm local operator.
ASAP Containers,402-598-4400,,https://www.asapcontainers.com/,Omaha,NE,10|15|20|30,construction|mixed|concrete,,,1,,1,Omaha residential and contractor roll-off. Firecrawl search. Same-day claims — verify.
K-Town Disposal,603-386-0386,,https://www.ktowndisposal.com/dumpster-rentals/manchester/,Manchester,NH,10|15|20|30,construction|mixed,,,1,,0,Manchester NH dumpster rentals. Firecrawl SCRAPED phone 603-386-0386 (alt 603-670-0332).
Jersey City Dumpster Rental,201-379-1533,,https://www.dumpsterrentaljerseycity.net/,Newark,NJ,10|20|30|40,construction|mixed|household|roofing,,,1,,0,Jersey City / Paterson NJ roll-off. Firecrawl search. Phone 201-379-1533. Verify not a multi-market broker network.
Payless Rolloff,505-295-4728,,https://www.paylessrolloff.com/,Albuquerque,NM,10|15|20|30,construction|mixed,,,1,,0,New Mexico roll-off rentals. Firecrawl search. Affordable local positioning.
Grizzly Hauling and Junk,702-628-7929,,https://www.grizzlyhaulingandjunk.com/,Las Vegas,NV,10|15|20|30,construction|mixed|household,,,1,,0,Las Vegas local hauling and roll-off. Firecrawl SCRAPED phone 702-628-7929.
Bestway Carting Inc,800-216-1284,,https://www.bestwaycarting.com/,New York,NY,10|20|30|40,construction|mixed|household,,,1,,0,Brooklyn/Queens/NYC carting and roll-off 30+ years. Firecrawl SCRAPED. HQ Little Neck NY. Confirm residential driveway rules.
Mid-Ohio Dumpsters,614-721-7777,sales@midohiodumpsters.com,https://www.midohiodumpsters.com/,Columbus,OH,10|15|20|30,construction|mixed|household,,,1,,0,Family owned Columbus OH dumpster rental demolition and junk. Firecrawl SCRAPED. Strong local candidate.
Enviro Dispose,405-213-4593,,https://envirodispose.com/,Oklahoma City,OK,10|15|20|30|40,construction|mixed,,,1,,0,OKC dumpster rental. Firecrawl SCRAPED phone 405-213-4593.
Oregon Recycling,503-720-2281,,https://oregon-recycling.com/,Portland,OR,10|15|20|30,construction|mixed|household,,,1,,0,Portland dumpster rental and junk removal. Firecrawl SCRAPED phone 503-720-2281.
Geppert Recycling,215-842-0122,,https://geppertrecycling.com/,Philadelphia,PA,10|15|20|30|40,construction|mixed|household,,,1,,0,30+ year Philly waste station and roll-off. Firecrawl SCRAPED. Serves Philly + Bucks/Chester/Delaware/Montgomery. Strong candidate.
Rhody Disposal,401-633-4465,info@rhodydisposal.com,https://www.rhodydisposal.com/,Providence,RI,10|15|20|30,construction|mixed|household,,,1,,0,Rhode Island roll-off and junk removal. Firecrawl SCRAPED.
Charleston Dumpster Rental,843-625-4227,,https://dumpsterrentalcharleston.org/,Charleston,SC,10|15|20|30,construction|mixed,,,1,,0,Charleston SC roll-off. Firecrawl search. Confirm not a lead broker.
605 Hauling,605-553-0711,,https://www.605hauling.com/,Sioux Falls,SD,10|15|20,construction|mixed|household,,,1,Driveway-safe dumpsters marketed,0,Sioux Falls driveway-safe dumpsters. Firecrawl SCRAPED phone 605-553-0711.
Tennessee Rolloff,615-784-4076,,https://tnrolloff.com/,Nashville,TN,10|15|20|30,construction|mixed|household,,,1,,0,Middle Tennessee local dumpster and portable toilets. Firecrawl search.
Atlas Disposal Utah,801-534-4488,,https://atlasdisposal.com/utah/,Salt Lake City,UT,10|15|20|30,construction|mixed,,,1,,0,Salt Lake dumpster rental expert line. Firecrawl search. Confirm local vs multi-market.
Richmond Rolloff Rental,804-294-9673,,https://richmondrolloffrental.com/,Richmond,VA,10|15|20|30,construction|mixed|household,,,1,,0,Local family business Richmond/Ashland VA. Firecrawl search.
JR and Sons Junk Removal,802-735-9760,,https://jrsonsjunk.com/location/burlington-vermont,Burlington,VT,10|15|20,construction|mixed|household,,,1,,0,Burlington VT dumpster/junk. Firecrawl SCRAPED phone 802-735-9760. Confirm roll-off vs junk-only.
NW Dumpsters,206-866-0688,hello@nwdumpsters.com,https://nwdumpsters.com/,Seattle,WA,10|20|30|40,construction|mixed|household|concrete,,,1,,1,Locally owned MBE/DBE Seattle roll-off; 300+ containers; same/next day. Firecrawl SCRAPED. Strong quality candidate.
Emerys Disposal,414-469-9714,,https://emerysdisposal.com/,Milwaukee,WI,10|15|20|30,construction|mixed|household,,,1,,0,Milwaukee/Waukesha dumpster rental from ~$475. Firecrawl search.
Evelyns Enterprises Junk,304-825-5865,,https://www.825junk.com/,Charleston,WV,10|15|20,construction|mixed|household,,,1,,0,Charleston WV area junk/dumpster. Firecrawl search (825-JUNK). Confirm roll-off inventory.
A Thru Z Construction Dumpsters,307-509-9209,,https://www.athruzconstruction.com/,Cheyenne,WY,10|15|20|30,construction|mixed,,,1,,0,Cheyenne WY dumpster rental. Firecrawl search.
