name,phone,email,website,city,state,sizes,materials,pricing_min,pricing_max,driveway_suitable,driveway_notes,same_day_capable,description
605 Hauling,605-553-0711,,https://www.605hauling.com/,Sioux Falls,SD,10|15|20,construction|mixed|household,,,1,Driveway-safe dumpsters marketed,0,"Sioux Falls driveway-safe dumpsters. Firecrawl SCRAPED phone 605-553-0711."
Tennessee Rolloff,615-784-4076,,https://tnrolloff.com/,Nashville,TN,10|15|20|30,construction|mixed|household,,,1,,0,"Middle Tennessee local dumpster and portable toilets. Firecrawl search."
Salt City Dumpsters,,,https://www.saltcitydumpsterrental.com/,Salt Lake City,UT,8|15|20,construction|mixed|household,,,1,,1,"SLC flat-rate from ~$250; 15/20 yd + low boys. Firecrawl search. Get phone from site."
Cousin Eddies Dumpsters,801-896-4687,, ,Salt Lake City,UT,10|15|20|30,construction|mixed,,,1,,0,"Salt Lake County roll-off. Firecrawl/Yelp. Confirm website and fleet."
Richmond Rolloff Rental,804-294-9673,,https://richmondrolloffrental.com/,Richmond,VA,10|15|20|30,construction|mixed|household,,,1,,0,"Local family business Richmond/Ashland VA. Firecrawl search."
NW Dumpsters,206-866-0688,hello@nwdumpsters.com,https://nwdumpsters.com/,Seattle,WA,10|20|30|40,construction|mixed|household|concrete,,,1,,1,"Locally owned MBE/DBE Seattle roll-off; 300+ containers; same/next day. Firecrawl SCRAPED. Strong quality candidate."
Emerys Disposal,414-469-9714,,https://emerysdisposal.com/,Milwaukee,WI,10|15|20|30,construction|mixed|household,,,1,,0,"Milwaukee/Waukesha dumpster rental from ~$475. Firecrawl search."
Wisconsin Disposal,800-898-6580,,https://www.widisposal.com/,Milwaukee,WI,12|20|30,construction|mixed,,,1,,0,"Menomonee Falls SE Wisconsin locally owned roll-off. Firecrawl search. Alt Milwaukee candidate."
A Thru Z Construction Dumpsters,307-509-9209,,https://www.athruzconstruction.com/,Cheyenne,WY,10|15|20|30,construction|mixed,,,1,,0,"Cheyenne WY dumpster rental. Firecrawl search."
First Light Services,307-262-0135,,https://firstlightservicesllc.com/service-areas/cheyenne/,Cheyenne,WY,10|15|20,construction|mixed,,,1,,0,"Cheyenne dumpster rental service area. Firecrawl search. Alt WY candidate."
EAI Roll Off,301-428-0822,,https://eairolloff.com/,Washington,DC,10|15|20|30|40,construction|mixed|household,,,1,,0,"Serves DC MD Northern VA. Firecrawl search. Confirm DC street permit help and local ops."
SEL Hauling,301-330-0983,,https://www.selhauling.com/roll-off-dumpster/,Washington,DC,10|15|20|30,construction|mixed,,,1,,0,"Roll-off within ~25 miles of DC. Firecrawl search. Alt DC/MD candidate."
K-Town Disposal,603-386-0386,,https://www.ktowndisposal.com/dumpster-rentals/manchester/,Manchester,NH,10|15|20|30,construction|mixed,,,1,,0,"Manchester NH dumpster rentals. Firecrawl SCRAPED phone 603-386-0386 (alt 603-670-0332)."
Dakota Roll-off Service,,,https://www.dakotarolloff.com/,Fargo,ND,10|15|20|30,construction|mixed,,,1,,0,"Fargo ND roll-off. Firecrawl search. Alt to BTDT; get phone."
Garbage Guys, , ,https://www.garbageguys.net/,Cheyenne,WY,10|15|20|30,construction|mixed,,,1,,0,"Cheyenne WY roll-off and trash. Firecrawl search. Phone from site."
JR and Sons Junk Removal,802-735-9760,,https://jrsonsjunk.com/location/burlington-vermont,Burlington,VT,10|15|20,construction|mixed|household,,,1,,0,"Burlington VT dumpster/junk. Firecrawl SCRAPED phone 802-735-9760. Confirm roll-off vs junk-only."
JEG Inc Dumpster Rental,,,https://www.jeginc.org/dumpster-rental-jersey-city,Newark,NJ,10|15|20|30,construction|mixed,,,1,,0,"Jersey City/Newark NJ local roll-off listing. Firecrawl search. Heavy broker market — verify carefully."
Jersey City Dumpster Rental,201-379-1533,,https://www.dumpsterrentaljerseycity.net/,Newark,NJ,10|20|30|40,construction|mixed|household|roofing,,,1,,0,"Jersey City / Paterson NJ roll-off. Firecrawl search. Phone 201-379-1533. Verify not a multi-market broker network."
Atomic Roll-Off,515-402-1081,,https://www.atomicrolloff.com/,Des Moines,IA,10|15|20|30,construction|mixed,,,1,,0,"Des Moines roll-off. Firecrawl search. Alt IA candidate."
The Trash Box KC,816-875-0028,,https://thetrashboxkc.com/,Kansas City,MO,10|15|20|30,construction|mixed|household,,,1,,1,"KC roll-off same-day claims. Firecrawl search. Alt MO candidate."
U-LOAD-IT KC,,,https://uloaditkc.com/,Kansas City,MO,8|10|15|20|30|40,construction|mixed|household,,,1,,1,"KC 8-40 yd roll-off and junk. Firecrawl search."
86 Dumpster,443-671-1850,,https://86dumpster.com/,Baltimore,MD,10|15|20|30,construction|mixed,,,1,,0,"Baltimore roll-off from ~$409. Firecrawl search. Alt MD candidate."
Viking Disposal Services,781-716-7400,,https://vikingdisposalserv.com/services/roll-off-dumpster/,Boston,MA,10|15|20|30,construction|mixed,,,1,,0,"Greater Boston roll-off. Firecrawl search. Alt MA candidate."
Boren Brothers,,,https://www.borenbrothers.com/,Columbus,OH,10|15|20|30,construction|mixed,,,1,,0,"Columbus area waste/dumpster. Firecrawl search. Alt OH candidate; confirm phone."
Nordic Waste,,,https://nordic-waste.com/,Minneapolis,MN,10|15|20|30,construction|mixed,,,1,,0,"Twin Cities roll-off. Firecrawl search. Alt MN candidate."
Haul It A Day,,,https://www.haulitaday.com/,Minneapolis,MN,10|15|20,construction|mixed|household,,,1,,0,"Twin Cities dumpster service. Firecrawl search. Alt MN candidate."
Pro Roll-Off Billings,406-559-4611,,https://www.dumpsterrentalbillings.com/,Billings,MT,10|15|20|30,construction|mixed,,,1,,0,"Billings MT dumpster rental. Firecrawl search. Alt MT candidate."
DDD Dumpster Rental Little Rock,501-642-2419,,https://www.ddddumpsterrentallittlerock.com/roll-offs/,Little Rock,AR,10|15|20|30|40,construction|mixed,,,1,,0,"Little Rock 10-40 yard local service. Firecrawl search. Alt AR candidate."
Atlas Disposal Utah,801-534-4488,,https://atlasdisposal.com/utah/,Salt Lake City,UT,10|15|20|30,construction|mixed,,,1,,0,"Salt Lake dumpster rental expert line. Firecrawl search. Confirm local vs multi-market."
Gill Hauling,402-404-3035,,https://www.gillhaulingnebraska.com/services/residential/residential-roll-off,Omaha,NE,10|15|20|30,construction|mixed,,,1,,0,"Nebraska residential roll-off. Firecrawl search. Alt NE candidate."
Road Runner Waste Services,505-867-9000,,https://www.roadrunnerwastenm.com/services/residential/residential-dumpster-rental,Albuquerque,NM,10|15|20|30,construction|mixed,,,1,,0,"NM residential dumpster rental. Firecrawl search. Alt NM candidate."
Indigo Dumpsterz Indy,317-518-8024,, ,Indianapolis,IN,15|20,construction|mixed|household,,,1,,0,"Indianapolis dumpster rentals via Facebook listing (~$325-375). Firecrawl search. Get formal website if any."
Reams Disposal,484-722-8247,,https://reamsdisposal.com/dumpster-rental-philadelphia-pa/,Philadelphia,PA,10|15|20|30,construction|mixed,,,1,,0,"Philadelphia county dumpster rental. Firecrawl search. Alt PA candidate."
DTG Recycle,425-549-3000,,https://www.dtgrecycle.com/service-area/king-county/seattle/dumpster-rentals-in-seattle-wa/,Seattle,WA,10|20|30|40,construction|mixed,,,1,,0,"King County Seattle dumpster rentals. Firecrawl search. Alt WA candidate."
Recology King County Debris Boxes,206-250-7500,,https://www.recology.com/recology-king-county/seattle/debris-boxes/,Seattle,WA,10|20|30|40,construction|mixed,,,1,,0,"Seattle debris boxes. Established regional hauler. Firecrawl search."
USA Waste and Recycling,,,https://www.usarecycle.com/west-hartford-ct-dumpster-rentals,Hartford,CT,6|10|15|20|30,construction|mixed,,,1,,0,"West Hartford CT roll-off 6-30 yards. Firecrawl search. Larger regional — confirm local ops."
Junk Frog,405-444-5865,,https://junkfrog.com/,Oklahoma City,OK,10|15|20|30,construction|mixed|household,,,1,,0,"OKC roll-off junk and storage. Firecrawl search. Alt OK candidate."
Universal Waste Systems,,,https://www.uwscompany.com/roll-off-dumpster-rentals-albuquerque/,Albuquerque,NM,10|15|20|30,construction|mixed,,,1,,0,"Albuquerque roll-off delivery. Firecrawl search."
HTM Contractors Dumpster Rentals,,,https://htmcontractors.com/dumpster-rentals/,Honolulu,HI,10|15|20|30,construction|mixed,,,1,,0,"Oahu dumpster rentals via contractor. Firecrawl search. Alt HI candidate."
Ramsey and Sons Refuse,907-277-3867,, ,Anchorage,AK,10|15|20|30,construction|mixed,,,1,,0,"Anchorage refuse/dumpster Yelp listing. Firecrawl search. Confirm website and current ops."
Dumpster Rental Crew Anchorage,907-308-4724,,https://www.dumpsterrentalcrewanchorage.com/,Anchorage,AK,10|15|20|30|40,construction|mixed,,,1,,0,"Anchorage 10-40 yard roll-off. Firecrawl search. Verify local hauler not broker network."
Reynolds and Sons Disposal,207-773-5862,,https://www.reynoldsandsonsdisposal.com/,Portland,ME,10|15|20|30,construction|mixed|household,,,1,,0,"Portland ME waste removal and dumpster rentals. Firecrawl search + Yelp. Local candidate."
Bin There Dump That Portland ME,603-451-6363,,https://www.bintheredumpthat.com/portland-dumpster-rentals/,Portland,ME,10|14|20,construction|mixed|household,,,1,Driveway-safe trailer-style,0,"Portland ME BTDT franchise. Firecrawl search. Confirm local ownership."
Evelyns Enterprises Junk,304-825-5865,,https://www.825junk.com/,Charleston,WV,10|15|20,construction|mixed|household,,,1,,0,"Charleston WV area junk/dumpster. Firecrawl search (825-JUNK). Confirm roll-off inventory."
Rumpke Charleston WV,800-828-8171,,https://www.rumpke.com/about-us/service-areas/wv/kanawha-county/charleston/dumpster-rental,Charleston,WV,10|15|20|30|40,construction|mixed,,,1,,0,"Regional hauler serving Charleston WV. Firecrawl search. Prefer independent local if found later."
